category,compatibility,languages,name,price,rating,size
 Music, OS X 10.10  , English,MOZIK,Free,4, 789.1 KB
 Education, OS X 10.10  ," English, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Mozart for Violin,$7.99 ,, 30.4 MB
 Games, OS X 10.10  ," English, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Mozart for Viola,$7.99 ,, 30.4 MB
 Games, OS X 10.10  ," English, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Mozart for Piano,$7.99 ,, 30 MB
 Games, OS X 10.10  ," English, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Mozart for Cello,$7.99 ,, 30.2 MB
 Games, OS X 10.10  ," English, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Mozart for Bass,$7.99 ,, 30.2 MB
 Education, OS X 10.11  ," English, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Mozart 2 Pro,$9.99 ,3, 28.6 MB
 Games, OS X 10.10  ," English, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Mozart 2 Mandolin,$7.99 ,, 30.4 MB
 Games, OS X 10.10  ," English, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Mozart 2 Guitar,$7.99 ,, 30.3 MB
 Games, OS X 10.10  ," English, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese",Mozart 2 Double Bass,$7.99 ,, 30.4 MB
 Music, OS X 10.9.0  , English,Moving Forward with Cubase 7,$13.99 ,, 533.7 MB
