category,compatibility,,name,price,rating,
 Social Networking, OS X 10.9  , English,Go for Instagram,,2.6, 2.7 MB
 Video, OS 10.13  ," English, French, German, Italian, Japanese, Simplified Chinese, Spanish",GlueMotion,$17.99 ,4.7, 9.4 MB
 Photography, OS X 10.10  ," English, German",Glimpses - Still Motion Videos,$19.99 ,5, 16.2 MB
 Photography, OS X 10.11  ," English, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokm̴l, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",GiveText GetGif,,1, 6.6 MB
 Photography, OS X 10.9  , English,GIFfun:Photos and videos convert to gif,$0.99 ,2.3, 1.7 MB
 Video, OS 10.12  , English,GIF To Video Maker Lite,Free,1, 346.7 KB
 Video, OS 10.12  , English,GIF To Video Maker,$5.99 ,, 301.7 KB
 Graphics & Design, OS X 10.10  , English,Gif Separator,$6.99 ,, 4.8 MB
 Graphics & Design, OS X 10.11  , English,Gif Separate - Split Animated GIF into images,$6.99 ,, 4.5 MB
 Photography, OS 10.13  , English,GIF Reverse,Free,, 957 KB
 Photography, OS X 10.10  , English,Gif Preview-Extract all images of the GIF file.,Free,5, 1.7 MB
 Photography, OS X 10.7  , English,Gif Maker +,$0.99 ,2.5, 858.7 KB
 Utilities, OS X 10.7  , English,GIF Maker,$4.99 ,1, 9.3 MB
 Photography, OS 10.12  , English,GIF Live,$2.99 ,1, 5 MB
 Photography, OS X 10.10  , English,GIF Generator,$0.99 ,5, 3.8 MB
 Graphics & Design, OS X 10.11  ," English, Korean",GIF Extractor,$0.99 ,, 293.5 KB
 Photography, OS 10.13  ," English, French, Italian",GIF Creator Ultimate,$4.99 ,, 3.6 MB
 Lifestyle, OS X 10.7  ," English, French, German, Japanese, Kanuri, Russian",GIF Creator - Convert Images into GIF,$9.99 ,5, 7.3 MB
 Photography, OS 10.12  , English,GExtractor,$2.99 ,, 6.8 MB
 Photography, OS X 10.10  , English,Get Color,$4.99 ,, 629.3 KB
 Photography, OS X 10.9.0  , English,Get Started with After Effects,$13.99 ,1, 428.7 MB
 Photography, OS 10.13  , English,GeoTagster,$0.99 ,5, 6.8 MB
 Photography, OS X 10.11  , English,GeoTagger,$2.99 ,3.3, 5.6 MB
 Photography, OS 10.12  , English,GeoTag,Free,4.6, 9.4 MB
 Photography, OS 10.12  , English,Gemia,$29.99 ,, 406.2 MB
 Utilities, OS X 10.10  ," English, Italian, Japanese",Ganpuku,Free,, 4 MB
 Utilities, OS X 10.11  , English,Gallery Photo Cleaner,$4.99 ,, 2.3 MB
 Photography, OS 10.12  , English,Gallery Grabber QED 2,,1, 4.8 MB
 Productivity, OS 10.14  , English,Galilaea,,2, 16.2 MB
 Graphics & Design, OS X 10.11  , English,Galaxy Studio - Photo Effects,$9.99 ,, 158 MB
 Photography, OS X 10.7  ," English, Simplified Chinese",FunPhotocut2,Free,2, 12.2 MB
 Entertainment, OS X 10.6.6 , English,Funny Pages for Mac,,1.9, 1.6 MB
 Photography, OS X 10.6.6  , English,Funny Faces (Lite),Free,3.1, 9.8 MB
 Entertainment, OS X 10.6.6  , English,Funny Faces,$0.99 ,, 9.9 MB
 Entertainment, OS X 10.5.0 , English,Fun Booth,Free,1.9, 34.5 MB
 Photography, OS X 10.9  ," English, Japanese",Full Frame,Free,3.6, 4.5 MB
 Photography, OS 10.13  , English,FUJIFILM Prints & Gifts,Free,2.6, 18.2 MB
 Video, OS 10.14  ," English, Simplified Chinese",Frammer X,$2.99 ,5, 563.8 KB
 Video, OS X 10.7  , English,FrameStacker,$0.99 ,4, 1.3 MB
 Graphics & Design, OS X 10.11  , English,Frames Magic - Collage & Greeting Cards,$7.99 ,1, 67.4 MB
 Graphics & Design, OS X 10.10  , English,Frames and Collage Templates for Photoshop - Love,$6.99 ,1, 106 MB
 Graphics & Design, OS X 10.6  , English,Frame King,$0.99 ,3.4, 4 MB
 Video, OS 10.13  ," English, Japanese",Frame Grab,$0.99 ,4.3, 852.4 KB
 Photography, OS X 10.7.3  ,,Fragment,Free,2.9, 21.9 MB
 Graphics & Design, OS X 10.6  , English,FractalMaker,$4.99 ,3.6, 37.7 MB
 Photography, OS X 10.6  , English,FotoTime,$18.99 ,1, 1.8 MB
 Photography, OS X 10.9  , English,Fotor Photo Editor,Free,4.6, 168.9 MB
 Photography, OS X 10.10  ," English, French, German",FotoMagico 5,$49.99 ,3.3, 371.5 MB
 Photography, OS X 10.9.0  ," English, French, German, Japanese, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",FotoJet Photo Editor,$4.99 ,4.7, 115.1 MB
 Graphics & Design, OS X 10.9.0  ," English, French, German, Japanese, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",FotoJet Designer,$14.99 ,3.7, 225.3 MB
 Photography, OS X 10.9.0  ," English, French, German, Japanese, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",FotoJet Collage Maker Lite,Free,4.7, 104 MB
 Photography, OS X 10.9.0  ," English, French, German, Japanese, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",FotoJet Collage Maker,$9.99 ,4.3, 149.6 MB
 Photography, OS X 10.10  ," English, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokm̴l, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish, Vietnamese",Fotogenic : Photo Editor,Free,4.4, 75.5 MB
 Utilities, OS X 10.9  , English,FotoDater,$7.99 ,3, 748.1 KB
 Photography, OS X 10.9  , English,FotoCleaner: Remove similar or duplicate photos,$2.99 ,1, 8 MB
 Photography, OS X 10.9  , English,FotoCleaner Lite:Remove similar or duplicate photos,Free,2.3, 8 MB
 Lifestyle, OS X 10.11  , English,Foto Lineup,$34.99 ,, 14.5 MB
 Photography, OS X 10.6  , English,Fotki Desktop,Free,2.4, 633.4 KB
 Photography, OS X 10.11  , English,Fontography - Text on Pictures,$0.99 ,2.4, 2.1 MB
 Graphics & Design, OS X 10.11  , English,Font Tools - Add Text on Photo,$8.99 ,1.2, 140.3 MB
 Graphics & Design, OS X 10.11  , English,"Font Studio - Text, Message & Quotes",$11.99 ,1, 7.2 MB
 Photography, OS X 10.10  , English,Font Preview Plus,$3.99 ,, 62.4 MB
 Utilities, OS X 10.7  , English,Folder Color - Design Custom Folder Icons,$2.99 ,2.7, 19.1 MB
 Photography, OS X 10.11  ,,FocusForPhotos,$9.99 ,, 32.5 MB
 Photography, OS X 10.11  , English,Focus Stacker,$14.99 ,5, 6 MB
 Photography, OS X 10.11  ,,Focus Photos Extension,$9.99 ,2.5, 64 MB
 Graphics & Design, OS X 10.11  , English,Focus Amazing - Create Blur Effects on Images,$8.99 ,, 3.5 MB
 Photography, OS X 10.11  ,,Focus And Bokeh,$12.99 ,, 33 MB
 Photography, OS X 10.10  , English,Focus & Blur,$1.99 ,4.3, 25.1 MB
 Photography, OS X 10.10  , English,Flip Photos,$0.99 ,1.8, 4.1 MB
 Photography, OS 10.13  , English,Flightmanager,$0.99 ,3, 5.7 MB
 Photography, OS X 10.7  , English,FlickrBucket,Free,3, 985.7 KB
 Photography, OS X 10.8  , English,FlickMatic,Free,1.5, 1.7 MB
 Photography, OS X 10.11  , English,Flavor,$2.99 ,3, 5 MB
 Graphics & Design, OS X 10.10  , English,Flash Transition,$6.99 ,1, 5.1 MB
 Photography, OS X 10.10  ," English, German, Japanese",Flare 2,$9.99 ,3.3, 82 MB
 Education, OS X 10.8  , English,FITS Preview,$4.99 ,5, 2.9 MB
 Graphics & Design, OS X 10.10  ," English, Italian",FitPlot Lite,$2.99 ,, 22.5 MB
 Graphics & Design, OS X 10.10  ," English, Italian",FitPlot,$14.99 ,4, 22.5 MB
 Photography, OS X 10.11  ,,FishEyeLomo 3,$8.99 ,, 211.2 MB
 Photography, OS X 10.10  , English,FirstPass Image Downloader and Browser,$27.99 ,5, 6.4 MB
 Video, OS 10.14.6  ," English, French, German, Japanese, Simplified Chinese, Spanish",Final Cut Pro,$299.99 ,4.2, 2.9 GB
 Photography, OS X 10.10  , English,Filtron,Free,3.2, 12 MB
 Photography, OS X 10.9  ," English, Russian",Filtromatic,Free,3.6, 2.3 MB
 Photography, OS X 10.9  , English,Filters for Photos,Free,4.1, 52.6 MB
 Photography, OS 10.13  ," English, French, German",Filterator 2,$4.99 ,, 3 MB
 Video, OS X 10.10  , English,Filmwizard,Free,2.6, 18 MB
 Photography, OS X 10.6.5 , English,Film Noir,$19.99 ,5, 15.7 MB
 Photography, OS X 10.9.0  , English,Film Craft 101 The Producer,$13.99 ,, 1.2 GB
 Photography, OS X 10.7.3  , English,FileName Extreme,$19.99 ,1, 23.3 MB
 Utilities, OS X 10.6.8  , English,File Rename Pro,$6.99 ,3.5, 1.8 MB
 Photography, OS X 10.6.8  , English,File Rename,$3.99 ,3, 1.8 MB
 Graphics & Design, OS X 10.9  ," English, French, German, Japanese, Spanish",FigrCollage 2 Lite Edition,Free,4.7, 59 MB
 Graphics & Design, OS X 10.9  ," English, French, German, Japanese, Spanish",FigrCollage 2 Home Edition,$12.99 ,1, 59 MB
 Photography, OS X 10.10  , English,Fhotoroom X,$3.99 ,4.4, 4.5 MB
 Photography, OS 10.14  ," English, Simplified Chinese",Face4Pass,$2.99 ,1, 400 KB
 Photography, OS X 10.10  , English,Face Switch - Photo Editor PRO,,1, 54.7 MB
 Photography, OS X 10.8  , English,Face Retouch - Photo Portrait Retouching,$7.99 ,1, 3 MB
 Photography, OS X 10.9  , English,Face Morpher,$9.99 ,, 86.3 MB
 Photography, OS X 10.6 , English,Face Makeover Pro,$7.99 ,3, 30 MB
 Photography, OS X 10.6 , English,Face Makeover EZ,Free,1.9, 30.5 MB
 Photography, OS X 10.11  , English,EZGuides For Adobe Lightroom,$6.99 ,, 2.6 MB
 Graphics & Design, OS X 10.11  , English,EZGuide! For Adobe Photoshop,$4.99 ,, 8.8 MB
 Graphics & Design, OS X 10.9  ," English, French, German, Spanish",Ezee Graphic Designer Lite,Free,3, 24.8 MB
 Graphics & Design, OS X 10.9  ," English, French, German, Spanish",Ezee Graphic Designer Home,Free,, 24.8 MB
 Graphics & Design, OS X 10.6.6  ,,EyeContacts Plus,$4.99 ,4.2, 43.3 MB
 Video, OS X 10.10  , English,Extract Images From Video,$4.99 ,, 1.2 MB
 Photography, OS X 10.11  , English,External Editors For Photos,$0.99 ,4.6, 3.9 MB
 Photography, OS 10.13  , English,Export,$0.99 ,, 22.8 MB
 Photography, OS X 10.6  , English,EXIFPurge,Free,3.3, 1 MB
 Photography, OS X 10.10  , English,ExifClip,$5.99 ,, 7.2 MB
 Photography, OS X 10.8  ," English, French, German",EXIF Sync,$4.99 ,2.3, 5.6 MB
 Photography, OS X 10.11  , English,EXIF Studio - Metadata Editor,$12.99 ,2.5, 11.2 MB
 Photography, OS X 10.9  ," English, Czech, French, German, Simplified Chinese, Spanish",Exif Editor,$10.99 ,3.3, 7.1 MB
 Photography, OS X 10.8  ," English, Arabic, French, German, Greek, Italian, Japanese, Korean, Norwegian Bokm̴l, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",EXIF Cleaner PRO,$2.99 ,2.3, 664.2 KB
 Photography, OS X 10.7  ," English, German",EXIF App,$8.99 ,2.3, 3.3 MB
 Photography, OS X 10.9.0  , English,Essentials For After Effects,$13.99 ,, 306.7 MB
 Photography, OS X 10.9.0  , English,Essentials 101 Lightroom CC,$13.99 ,3.7, 508.9 MB
 Productivity, OS 10.13  , English,Erabo Pre-Selector,$9.99 ,, 4.9 MB
 Photography, OS X 10.9  ," English, French, German, Japanese",Epson Exif Label Tool,Free,, 2.8 MB
 Photography, OS X 10.6.6 ," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",EPS Converter,$9.99 ,1, 1.3 MB
 Photography, OS X 10.7  , English,Ephnic Photo Collage,$14.99 ,4, 249.5 MB
 Video, OS X 10.10  ," English, French, German, Japanese",Ephnic Movie Maker,$29.99 ,, 54 MB
 Photography, OS X 10.7 , English,EOSCount,Free,1.1, 883.3 KB
 Utilities, OS X 10.10  ," English, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese",Enlightening X Pro - Filters Effect Darkroom Photo Editor,$44.99 ,1, 35.2 MB
 Photography, OS X 10.10  ," English, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese",Enlightening X,$28.99 ,1, 35.2 MB
 Photography, OS X 10.11  , English,Enhance RGB,$6.99 ,, 1 MB
 Photography, OS X 10.11  , English,Enhance Photos,$7.99 ,1, 5 MB
 Photography, OS X 10.11  , English,Enhance Images,$7.99 ,1, 4.6 MB
 Productivity, OS X 10.6 , English,Encrypt Photos SE,Free,2.2, 3.7 MB
 Photography, OS X 10.7 , English,Encrypt Photos Pro,$3.99 ,, 2.2 MB
 Photography, OS X 10.10  , English,Emulsion,$49.99 ,1.3, 18.3 MB
 Business, OS X 10.11  , English,Emoji Folder,$1.99 ,, 6.5 MB
 Graphics & Design, OS X 10.6 , English,Elemento Pro,$7.99 ,, 654.4 MB
 Photography, OS X 10.6 , English,Elemento EZ,Free,3.8, 186.5 MB
 Photography, OS X 10.6.6  , English,Effects for Photos (Free),Free,1, 21.2 MB
 Photography, OS X 10.6.6  , English,Effects for Photos,$4.99 ,2, 43.3 MB
 Photography, OS X 10.9.0  , English,Editor Course for AfterEffects,$13.99 ,, 414.6 MB
 Video, OS X 10.10  , English,Edit8 Audio Sync Pro for iMovie-PP-FCPX,Free,2, 1.5 MB
 Video, OS X 10.10  , English,Edit8 Audio Sync FULL VERSION,$3.99 ,, 1.6 MB
 Photography, OS X 10.11  ,,EdgeEffectsForPhotos,$9.99 ,3, 96.8 MB
 Photography, OS X 10.7  , English,EasySplash,$4.99 ,3.8, 2.8 MB
 Photography, OS X 10.5 ,,EasyMeasurer,$0.99 ,3, 16.1 MB
 Photography, OS X 10.10  , English,EasyFocus,$4.99 ,4.4, 2.4 MB
 Graphics & Design, OS X 10.11  , English,EasyLearn! For After Effects,$6.99 ,1.1, 3.8 MB
 Photography, OS X 10.9  , English,EasyBatchPhoto,$19.99 ,4.2, 2.8 MB
 Photography, OS X 10.6.6  ,,Easy Watermarks,$4.99 ,1.5, 27.8 MB
 Video, OS X 10.10  , English,Easy Video Player,$4.99 ,1, 830.1 KB
 Graphics & Design, OS X 10.11  , English,Easy To Use! For Indesign 2017,$6.99 ,, 5 MB
 Graphics & Design, OS X 10.11  , English,Easy To Use For Photoshop 2017,$4.99 ,1, 6 MB
 Graphics & Design, OS X 10.11  ,,Easy SpiralFx,$4.99 ,3, 45.8 MB
 Photography, OS X 10.9  ,,Easy Sketch,$7.99 ,, 130.4 MB
 Photography, OS X 10.7  , English,Easy Screen Capture,$13.99 ,2, 821.9 KB
 Photography, OS X 10.7  , English,Easy PicFrame,$0.99 ,, 3 MB
 Photography, OS X 10.9  , English,Easy Photo Viewer,$0.99 ,1, 4.1 MB
 Photography, OS X 10.7  , English,Easy photo inpaint,$1.99 ,1, 8.9 MB
 Photography, OS X 10.9  , English,Easy Photo Frame,$9.99 ,3, 53.5 MB
 Photography, OS X 10.11  ,,Easy MedleyPhotos,$12.99 ,1, 32.3 MB
 Utilities, OS X 10.7  , English,Easy GIF Maker,$0.99 ,3.2, 1.7 MB
 Graphics & Design, OS X 10.10  , English,Easy Image Reflection 2,$3.99 ,, 1.8 MB
 Photography, OS X 10.10  , English,Easy Duplicate Photo Finder,Free,1, 8.2 MB
 Graphics & Design, OS X 10.6.6  ,,Easy CropResize,$5.99 ,1, 30.1 MB
 Photography, OS X 10.6  , English,Easy Collage Maker Pro,$29.99 ,, 69.9 MB
 Photography, OS X 10.6  , English,Easy Collage Maker,$19.99 ,1, 69.9 MB
 Photography, OS X 10.10  ," English, Spanish",Easy Class Composite,$26.99 ,, 193.7 MB
 Graphics & Design, OS X 10.11  , English,Easter Frames - Cute Stickers,$8.99 ,, 73.4 MB
 Photography, OS 10.14  , English,Dynamic Wallpaper Creator,$0.99 ,, 98.2 MB
 Utilities, OS 10.14  , English,Dynamic,$9.99 ,4, 7.2 MB
 Photography, OS X 10.11  ," English, French",DxO OpticsPro for Photos - ONE,Free,2, 71.9 MB
 Photography, OS X 10.7.5  ," English, French, German, Japanese",DxO Perspective,$9.99 ,2, 41.9 MB
 Photography, OS X 10.11  ," English, French",DxO OpticsPro for Photos,$9.99 ,3, 71.2 MB
 Video, OS X 10.6.6 , English,DVD_Creator,$6.99 ,1, 31.5 MB
 Photography, OS X 10.7  , English,DupPic Detective,$0.99 ,2, 1.4 MB
 Utilities, OS X 10.7  , English,Duplicates Cleaner,Free,4.6, 1.2 MB
 Photography, OS X 10.8  , English,DuplicatePhotos-Find&Delete,$6.99 ,, 1.5 MB
 Photography, OS X 10.11  , English,Duplicate Photos SweepOff,Free,2.9, 11 MB
 Photography, OS X 10.7  ," English, French, German, Japanese",Duplicate Photos Fixer Pro,$0.99 ,4.1, 10.1 MB
 Photography, OS X 10.7 ," English, French, German, Japanese",Duplicate Photos Fixer,Free,3, 6.7 MB
 Utilities, OS X 10.10  , English,Duplicate Photos Finder,Free,3.9, 11.1 MB
 Graphics & Design, OS X 10.7  , English,Duplicate Photos Detective,$2.99 ,1, 1.1 MB
 Photography, OS X 10.8  , English,Duplicate Photos Cleaner,$1.99 ,4.2, 3.6 MB
 Photography, OS X 10.7  , English,Duplicate Photo Search Lite - Safely Find Pictures,Free,2, 182.9 KB
 Photography, OS X 10.7  , English,Duplicate Photo Search - Safely Find Pictures,$1.99 ,2.5, 158.3 KB
 Photography, OS X 10.8  , English,Duplicate Photo Detective,$2.99 ,2.5, 3.5 MB
 Graphics & Design, OS X 10.11  , English,Duplicate Image Detector - Retrieve & Remove,$5.99 ,3, 4.7 MB
 Utilities, OS X 10.8.5  ," English, Arabic, Chinese, Dutch, French, German, Hindi, Italian, Japanese, Korean, Malay, Polish, Portuguese, Russian, Spanish, Swedish, Turkish",Duplicate File Finder & Remover,$2.99 ,2.8, 2.7 MB
 Utilities, OS X 10.8  , English,Duplicate File Cleaner - Find and Delete Your Duplicates,$9.99 ,4.5, 3.1 MB
 Photography, OS X 10.7  ," English, French, German, Japanese",Duplicate Cleaner For iPhoto,Free,4.5, 10.3 MB
 Photography, OS X 10.10  , English,DuPics - Manage Duplicate and Similar Images,$0.99 ,1, 3.4 MB
 Utilities, OS X 10.11  ," English, French, German, Italian",DupeZap 4,$19.99 ,5, 13.4 MB
 Utilities, OS X 10.11  , English,Dual-fisheye viewer,$9.99 ,3.6, 9.3 MB
 Video, OS X 10.9.0  , English,DSLR Workflows for Premiere 5,$13.99 ,1, 220.4 MB
 Photography, OS X 10.11  , English,DSLR Assistant,Free,3, 10.3 MB
 Photography, OS X 10.7  , English,DSLR,$2.99 ,, 2.2 GB
 Photography, OS X 10.6.6 , English,Dropwatermark,$14.99 ,3.5, 6.1 MB
 Photography, OS X 10.11  , English,DropGallery - Photo Viewer,$13.99 ,1.8, 3.5 MB
 Entertainment, OS X 10.8  ," English, Japanese, Korean",DreamView - Comic Viewer,$1.99 ,4, 1.8 MB
 Photography, OS X 10.6.6  ,,Dramatic Black & White,$10.99 ,5, 11.7 MB
 Photography, OS X 10.10  , English,DPHOTO,Free,3, 4 MB
 Photography, OS X 10.7  , English,DNG Cleaner,$9.99 ,5, 865 KB
 Photography, OS X 10.10  , English,Dissolve Transition: Image blend effect,$8.99 ,1.5, 7.6 MB
 Utilities, OS X 10.8.5  ," English, Arabic, Chinese, Dutch, French, German, Hindi, Italian, Japanese, Korean, Malay, Polish, Portuguese, Russian, Spanish, Swedish, Turkish",Disk Drill Media Recovery,$39.99 ,3.4, 15.7 MB
 Photography, OS X 10.7  , English,Diptic,$0.99 ,2.4, 8.4 MB
 Photography, OS X 10.9.0  , English,Digital Photography - Basics,$13.99 ,, 710.3 MB
 Graphics & Design, OS X 10.11  , English,Digital Fashion - Face & Hair,$10.99 ,1.5, 73.9 MB
 Photography, OS X 10.7  , English,DiapoSheet,$4.99 ,3, 3.2 MB
 Graphics & Design, OS X 10.10  , English,Device Mockup,$3.99 ,, 159.9 MB
 Photography, OS X 10.10  , English,DeskTop Photo Player,$2.99 ,2.5, 15.7 MB
 Photography, OS X 10.8  , English,Desktop Delights,Free,, 6.4 MB
 Utilities, OS X 10.10  , English,Desktop Blurrifier,$4.99 ,5, 5.4 MB
 Photography, OS X 10.9.0  , English,Designing Album Covers,$13.99 ,, 531 MB
 Graphics & Design, OS X 10.8  , English,Designer Brushes,$7.99 ,3, 8.1 GB
 Photography, OS X 10.11  , English,Design Your Collage,$19.99 ,, 9.5 MB
 Graphics & Design, OS X 10.8  , English,Design Folio,$6.99 ,, 756.3 KB
 Photography, OS 10.14  ," English, German",DepthCam Pro,$19.99 ,, 25.6 MB
 Photography, OS 10.13  , English,DepthViewer for Portrait Mode,$0.99 ,, 4.1 MB
 Photography, OS X 10.6.0  , German,DENOISE projects professional,$17.99 ,, 70.3 MB
 Graphics & Design, OS X 10.8.2  , English,Deep,$13.99 ,2, 4.9 MB
 Utilities, OS 10.13  , English,Daydreamer,$2.99 ,, 7.6 MB
 Photography, OS X 10.10  , English,Depth of Field & Exposure Calc,$2.99 ,4, 562.7 KB
 Photography, OS X 10.11  , English,DateShiftr,Free,, 14 MB
 Utilities, OS 10.14  , English,Day & Night World Map Studio,Free,3.8, 19.2 MB
 Utilities, OS X 10.6 , English,Data Recovery Free,Free,1.7, 1.3 MB
 Lifestyle, OS X 10.6 , English,Daily Planet,$0.99 ,4.3, 2.6 MB
 Photography, OS 10.12  , English,Damaged Photo Restore & Repair,$8.99 ,1.3, 75.8 MB
 Graphics & Design, OS X 10.10  ," English, Dutch, French, German, Italian, Simplified Chinese, Spanish, Traditional Chinese",Cut-Out,$7.99 ,, 17.8 MB
 Graphics & Design, OS X 10.11  , English,Cut Tool - Background Eraser,$10.99 ,1, 26.9 MB
 Photography, OS X 10.11  , English,Cut Out Shapes: Erase Elements,Free,1, 32.7 MB
 Photography, OS X 10.11  ,,Curl Photos 2,$5.99 ,, 33.9 MB
 Graphics & Design, OS X 10.9.0  , English,Crossbow,Free,, 2.1 MB
 Photography, OS X 10.11  ,,CropResizeControl,$6.99 ,1, 34.5 MB
 Graphics & Design, OS X 10.6.6  ,,CropResize Photo,$4.99 ,1, 27.4 MB
 Graphics & Design, OS X 10.11  ,,CropMaster 3,$6.99 ,1, 32 MB
 Productivity, OS X 10.10  ," English, Japanese",CropClip - Take a photo to your desktop,Free,5, 1.9 MB
 Photography, OS X 10.6.6  , English,Crop Paste,$0.99 ,1, 993.9 KB
 Graphics & Design, OS X 10.11  , English,Creative Convert,$0.99 ,1.5, 4.1 MB
 Photography, OS X 10.9.0  , English,Creating HDR Photos,$13.99 ,, 322 MB
 Video, OS X 10.9  ,,CrazyTalk 8 Standard,,3, 999.6 MB
 Video, OS X 10.9  ,,CrazyTalk 8 Pro,,3, 999 MB
 Photography, OS X 10.6.6 , English,Course For Photoshop CS5 - Retouching,$13.99 ,1, 705.8 MB
 Photography, OS X 10.6.6 , English,Course For Photoshop CS5 - Compositing,$13.99 ,1.7, 157.4 MB
 Education, OS X 10.10  ," English, Portuguese",Course for PHOTOSHOP CC,$13.99 ,1, 507 MB
 Photography, OS X 10.7  , English,Course For Photoshop 101 Tutorials,$13.99 ,1, 781.8 MB
 Video, OS X 10.9  , English,Course For Media Composer 6 Advanced Editing,$13.99 ,, 300.8 MB
 Photography, OS X 10.6.6 , English,Course For Lightroom 101,$13.99 ,1.7, 453.9 MB
 Photography, OS X 10.9  , English,Course For Lightroom - Wedding Photography,$13.99 ,, 242.1 MB
 Photography, OS X 10.7  , English,Course For iPhoto '11 101 - Core iPhoto '11,$13.99 ,1.1, 583.3 MB
 Photography, OS X 10.9.0  , English,Course 103 For After Effects,$13.99 ,, 371.7 MB
 Photography, OS 10.14  , English,Cosmic Brush,Free,3, 9 MB
 Photography, OS X 10.7  , English,Corrupt JPEG Checker,$5.99 ,4.1, 1.7 MB
 Photography, OS X 10.10  , English,"Convert, Resize and Compress Images",$8.99 ,1, 6.7 MB
 Photography, OS X 10.10  , English,Convert PSD to PNG,$7.99 ,5, 7.6 MB
 Graphics & Design, OS X 10.10  , English,Convert PSD to JPEG,$8.99 ,5, 6.2 MB
 Graphics & Design, OS X 10.10  , English,Convert Images to Whatever 2,$8.99 ,, 6 MB
 Graphics & Design, OS X 10.10  , English,Convert Images to Whatever,$7.99 ,4, 6.3 MB
 Photography, OS X 10.10  , English,Convert Images to PNG,$7.99 ,1, 5.7 MB
 Graphics & Design, OS X 10.10  , English,Convert Images to JPEG,$8.99 ,5, 5.7 MB
 Photography, OS X 10.10  , English,Convert Image Format,$7.99 ,2.5, 1.5 MB
 Photography, OS X 10.10  , English,Convert Image 2,$9.99 ,3, 1.6 MB
 Graphics & Design, OS X 10.10  , English,Convert All Images,$8.99 ,5, 6.5 MB
 Graphics & Design, OS X 10.10  , English,Convert & Resize Images,$8.99 ,3, 7 MB
 Photography, OS X 10.9  , English,Control for Xiaomi Yi,$4.99 ,1.2, 22.1 MB
 Graphics & Design, OS X 10.9.0  , English,ContactPage Pro,$9.99 ,5, 2.1 MB
 Utilities, OS X 10.10  , German,Consheeta,$2.99 ,5, 2.5 MB
 Graphics & Design, OS X 10.9.0  , English,ContactPage Lite,Free,4.8, 2.1 MB
 Graphics & Design, OS 10.12  , English,Connect my tablet,$9.99 ,4.7, 3.5 MB
 Video, OS 10.14.6  ," English, French, German, Japanese, Simplified Chinese, Spanish",Compressor,$49.99 ,3.4, 324.2 MB
 Graphics & Design, OS X 10.11  , English,Compress Photos - Reduce Size and Retain Quality,$8.99 ,1, 3.6 MB
 Photography, OS 10.13  , English,Compress Photos,$9.99 ,, 6.7 MB
 Photography, OS X 10.10  , English,Compress Images and Photos,$6.99 ,1, 6.3 MB
 Graphics & Design, OS X 10.10  , English,Compress All!: Compress your photos & images in seconds to reduce space,$10.99 ,1, 6.7 MB
 Photography, OS X 10.8  , English,Composure,Free,4.1, 42.5 MB
 Photography, OS X 10.9  , English,Composite Photo Editor,$19.99 ,1, 16.4 MB
 Photography, OS X 10.6.6  , English,Composer FX Image (Lite),Free,1.4, 3.1 MB
 Graphics & Design, OS X 10.6.6  , English,Composer FX Image,$9.99 ,1, 19.2 MB
 Photography, OS X 10.6  , English,Compose Lite,Free,2.6, 723.6 KB
 Photography, OS X 10.6  , English,Compose,$4.99 ,2.6, 723.5 KB
 Photography, OS 10.13  , English,CompareKit,$0.99 ,2.2, 8.3 MB
 Utilities, OS 10.12  , English,ComicHelper,$2.99 ,, 5.8 MB
 Graphics & Design, OS 10.13  , English,Colour Modifier,$4.99 ,, 3.9 MB
 Photography, OS X 10.9  , English,ColorToBlackNWhite,$6.99 ,, 2.8 MB
 Graphics & Design, OS X 10.9  , English,Colorx,$9.99 ,, 1.3 MB
 Photography, OS X 10.9  , English,ColorSwap,$7.99 ,1, 2.7 MB
 Photography, OS X 10.6 , English,ColorStrokes,$9.99 ,4.2, 15.3 MB
 Photography, OS X 10.11  ,,ColorSplasher3,$4.99 ,1, 38.2 MB
 Photography, OS X 10.6.6  ,,ColorSplasher2,$3.99 ,1, 31 MB
 Photography, OS X 10.6.6  ,,ColorSplasher,$3.99 ,3.5, 38.2 MB
 Graphics & Design, OS X 10.10  , English,ColorShades,$15.99 ,4, 453.2 KB
