category,compatibility,languages,name,price,rating,size
 Productivity, OS 10.13  , English,Mars DXF,$4.99 ,, 22.2 MB
 Productivity, OS X 10.8  , English,MarkieMark,$4.99 ,5, 2.6 MB
 Photography, OS X 10.11  , English,MarkerForPhotos,$9.99 ,, 36.1 MB
 Graphics & Design, OS X 10.7  , English,Mark Tool Basic,Free,, 9.9 MB
 Lifestyle, OS X 10.7  ," English, Japanese",Map Editor,$2.99 ,2, 9.1 MB
 Productivity, OS X 10.8  , English,Map Designer(3D and Flattened),Free,, 13.4 MB
 Graphics & Design, OS X 10.8  , English,Mantis LOD Editor,$29.99 ,5, 7.4 MB
 Graphics & Design, OS X 10.9.0  , English,Manikin,$3.99 ,5, 83.3 MB
 Graphics & Design, OS X 10.7  , English,Mandelbrot - generate stunning fractal images,$4.99 ,1, 1.3 MB
 Developer Tools, OS 10.15  , English,MakeIcons,$0.99 ,1, 1.6 MB
 Video, OS X 10.11  , English,Make It Simple! For Sony Vegas,$4.99 ,1, 5.4 MB
 Graphics & Design, OS X 10.11  , English,Make It Simple! For Adobe Flash,$6.99 ,, 3.7 MB
 Graphics & Design, OS X 10.7  , English,Mail Stationery Designs,$9.99 ,1.3, 72.4 MB
 Graphics & Design, OS X 10.10  , English,Mail Stationery - Stationery for Mail,$9.99 ,1, 51.5 MB
 Graphics & Design, OS X 10.11  , English,Make It Simple! Adobe Illustrator Edition,$2.99 ,1, 3.7 MB
 Productivity, OS X 10.11  ," English, Danish, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai",Mail Stationery - GN Templates,Free,2.1, 8.6 MB
 Graphics & Design, OS X 10.8  , English,Mail Merge,$49.99 ,1, 6.2 MB
 Graphics & Design, OS X 10.11  ," English, German, Simplified Chinese",Mail Designer 365,Free,3.6, 155 MB
 Graphics & Design, OS X 10.11  ,,MagicWatermarks 3,$9.99 ,, 34.2 MB
 Utilities, OS X 10.7  ," English, Russian",Magtoapp Editor,Free,4.5, 1.6 MB
 Photography, OS X 10.11  ,,MagicVintagePhotos,$8.99 ,, 223.4 MB
 Graphics & Design, OS X 10.6.6  ,,MagicVintage 2,$9.99 ,2, 218.1 MB
 Photography, OS X 10.11  ,,MagicSplashPhotos,$5.99 ,1, 64 MB
 Photography, OS X 10.9  ,,MagicSketcher 2,$9.99 ,, 132.7 MB
 Photography, OS X 10.6.6 , English,MagicShow,$2.99 ,3.2, 13.8 MB
 Graphics & Design, OS X 10.11  ,,MagicRomance 3,$9.99 ,, 34.7 MB
 Graphics & Design, OS X 10.11  , English,MagiCirGen,Free,5, 5.6 MB
 Graphics & Design, OS X 10.6.6  ,,MagicFocus 2,$7.99 ,, 26.9 MB
 Photography, OS X 10.11  ,,MagicEngrave,$19.99 ,, 86.1 MB
 Graphics & Design, OS X 10.9  ,,MagicColorize 2,$7.99 ,1, 31.6 MB
 Photography, OS X 10.8  ," English, Simplified Chinese",MagicCollageLite,Free,2.8, 12.2 MB
 Graphics & Design, OS X 10.8  ," English, Simplified Chinese",MagicCollage,$1.99 ,2.3, 12.2 MB
 Photography, OS X 10.11  ,,MagicBlurAndSharp,$3.99 ,1, 31.5 MB
 Photography, OS X 10.11  ,,MagicBlackWhiteForPhotos,$9.99 ,, 53.4 MB
 Photography, OS X 10.6.6 ," English, Simplified Chinese",Magic Matting Free,Free,1.3, 18 MB
 Photography, OS X 10.6.6 ," English, Simplified Chinese",Magic Matting,$9.99 ,1.3, 18 MB
 Productivity, OS 10.14  , English,Magic Maps 2,Free,, 68.3 MB
 Graphics & Design, OS X 10.8  , English,Magic Maps,$59.99 ,4.2, 47.2 MB
 Photography, OS X 10.10  ," English, French, German, Japanese, Korean, Russian, Simplified Chinese",Magic Hider Lite,Free,1, 1.9 MB
 Graphics & Design, OS X 10.11  ," English, French, German, Japanese, Korean, Russian, Simplified Chinese",Magic Hider,$1.99 ,3, 1.9 MB
 Graphics & Design, OS X 10.6.6  ,,Magic HDR 2 - High Dynamic Range Effects -,$7.99 ,1.5, 29.4 MB
 Photography, OS X 10.6.6  ,,Magic HDR - High Dynamic Range Effects Tool -,$7.99 ,3.8, 44.7 MB
 Graphics & Design, OS X 10.9  , English,Magic Fractals,$4.99 ,3, 4.9 MB
 Graphics & Design, OS X 10.11  , English,Magic Compress - Reduce Image Size,$10.99 ,, 4.2 MB
 Graphics & Design, OS X 10.7  , English,Magazine templates for Word,$3.99 ,1, 2 MB
 Graphics & Design, OS X 10.8  , English,Magazine template & Design T.L,$8.99 ,1, 4.5 MB
 Graphics & Design, OS X 10.8  , English,Magazine PSD file design,$8.99 ,, 5.9 MB
 Graphics & Design, OS X 10.8  , English,Magazine Cover Design,$4.99 ,3, 94.5 MB
 Video, OS X 10.11  , English,Made Simple! For Premiere Pro,$4.99 ,1, 3.4 MB
 Graphics & Design, OS X 10.11  , English,Made Simple! For Apple Pages,$3.99 ,1, 1.9 MB
 Graphics & Design, OS X 10.11  , English,Made Simple! Adobe Flash Edition,$6.99 ,1, 1.7 MB
 Video, OS X 10.11  , English,Made Simple For Final Cut Pro,$4.99 ,1, 3.5 MB
