category,compatibility,languages,name,price,rating,size
 Reference, OS X 10.10  ," English, Albanian, Arabic, Azerbaijani, Bengali, Bulgarian, Burmese, Cambodian, Croatian, Czech, Danish, Dutch, Estonian, Filipino, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian BokmÃ¥l, Norwegian Nynorsk, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Somali, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Uzbek, Vietnamese",Kamus Melayu Berbilang bahasa,$8.99 ,, 3.7 MB
 Games, OS X 10.7  , English,Kamus Lengkap Quiz Game,$4.99 ,, 14.3 MB
 Reference, OS X 10.7  , English,Kamus Lengkap - English N' Indonesia Dictionary,$7.99 ,, 5.5 MB
 Reference, OS X 10.10  ," English, Albanian, Arabic, Azerbaijani, Bengali, Bulgarian, Burmese, Cambodian, Croatian, Czech, Danish, Dutch, Estonian, Filipino, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian BokmÃ¥l, Norwegian Nynorsk, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Slovak, Somali, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Uzbek, Vietnamese",Kamus Indonesia Multibahasa,$8.99 ,, 3.8 MB
 Games, OS X 10.6.6 , English,Kalle Kunskap TvÃ¥an,$2.99 ,, 107.5 MB
 Games, OS X 10.6.6 , English,Kalle Kunskap Skolstart,$2.99 ,, 114.5 MB
 Games, OS X 10.6.6 , English,Kalle Kunskap FÃ¶rskolan,$2.99 ,, 64.6 MB
 Games, OS X 10.6.6 , English,Kalle Kunskap Ettan,$2.99 ,, 92.8 MB
 Education, OS X 10.6 ," English, Chinese, Czech, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Spanish, Swedish, Turkish",Juz' Amma Al Quran Al Kareem for Muslim Kids Ø¬Ø_Ø¡ Ø_Ù… Ù„Ù„Ø£Ø·ÙÅØ§Ù„ - ØªØ_ÙÅÙ_Ø¸ Ø§Ù„Ù‚Ø±Ø§Ù† Ø§Ù„ÙƒØ±Ù_Ù… Ùˆ ØªØ_Ù„Ù_Ù… Ø§Ø·ÙÅØ§Ù„ Ø§Ù„Ø§Ø_Ù„Ø§Ù… ØªÙÅØ_Ù_Ø± Ø§Ù„Ù‚Ø±Ø¢Ù†,$6.99 ,1, 78.8 MB
 Games, OS X 10.6.6 , English,Jussi JÃ_nÃ¶ Esikoulu,$1.99 ,, 65.2 MB
 Games, OS X 10.9  , English,Juranka Classic,Free,, 10.9 MB
 Games, OS 10.15  ," English, Portuguese, Simplified Chinese",Jungle Game,Free,, 13.6 MB
 Games, OS X 10.11  ," English, Arabic, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian BokmÃ¥l, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Jungle Animals,$0.99 ,, 68 MB
 Education, OS X 10.6.6 , English,JumpStart Advanced Preschool StoryLand,$19.99 ,3, 272.4 MB
 Education, OS X 10.6.6 , English,JumpStart Advanced K-2 Lost Island Training,$19.99 ,4, 280.3 MB
 Education, OS X 10.6.6 , English,JumpStart Advanced K-2 Lost Island Quest,$19.99 ,2.5, 262.9 MB
 Education, OS X 10.6.6 , English,JumpStart Advanced 3-5 The Adventures of Dr. Brain,$19.99 ,2, 92.4 MB
 Education, OS X 10.11  , English,JumpSeat Extension,Free,, 3.8 MB
 Games, OS X 10.10  , English,Jumbline 2,$2.99 ,3.5, 19.2 MB
 Sports, OS X 10.11  , English,Judo Simplified!,$6.99 ,, 2.1 MB
 Developer Tools, OS 10.14  , English,JSON Visualizer,$0.99 ,3, 4 MB
 Developer Tools, OS X 10.7  , English,JS Runner,$1.99 ,4, 3.1 MB
 Developer Tools, OS X 10.9  ,,JS King,$2.99 ,2.5, 13.2 MB
